Data,Dia_da_Semana,Mes,Ano
2023-01-01,Sunday,January,2023
2023-01-02,Monday,January,2023
2023-01-03,Tuesday,January,2023
2023-01-04,Wednesday,January,2023
2023-01-05,Thursday,January,2023
2023-01-06,Friday,January,2023
2023-01-07,Saturday,January,2023
2023-01-08,Sunday,January,2023
2023-01-09,Monday,January,2023
2023-01-10,Tuesday,January,2023
2023-01-11,Wednesday,January,2023
2023-01-12,Thursday,January,2023
2023-01-13,Friday,January,2023
2023-01-14,Saturday,January,2023
2023-01-15,Sunday,January,2023
2023-01-16,Monday,January,2023
2023-01-17,Tuesday,January,2023
2023-01-18,Wednesday,January,2023
2023-01-19,Thursday,January,2023
2023-01-20,Friday,January,2023
2023-01-21,Saturday,January,2023
2023-01-22,Sunday,January,2023
2023-01-23,Monday,January,2023
2023-01-24,Tuesday,January,2023
2023-01-25,Wednesday,January,2023
2023-01-26,Thursday,January,2023
2023-01-27,Friday,January,2023
2023-01-28,Saturday,January,2023
2023-01-29,Sunday,January,2023
2023-01-30,Monday,January,2023
2023-01-31,Tuesday,January,2023
2023-02-01,Wednesday,February,2023
2023-02-02,Thursday,February,2023
2023-02-03,Friday,February,2023
2023-02-04,Saturday,February,2023
2023-02-05,Sunday,February,2023
2023-02-06,Monday,February,2023
2023-02-07,Tuesday,February,2023
2023-02-08,Wednesday,February,2023
2023-02-09,Thursday,February,2023
2023-02-10,Friday,February,2023
2023-02-11,Saturday,February,2023
2023-02-12,Sunday,February,2023
2023-02-13,Monday,February,2023
2023-02-14,Tuesday,February,2023
2023-02-15,Wednesday,February,2023
2023-02-16,Thursday,February,2023
2023-02-17,Friday,February,2023
2023-02-18,Saturday,February,2023
2023-02-19,Sunday,February,2023
2023-02-20,Monday,February,2023
2023-02-21,Tuesday,February,2023
2023-02-22,Wednesday,February,2023
2023-02-23,Thursday,February,2023
2023-02-24,Friday,February,2023
2023-02-25,Saturday,February,2023
2023-02-26,Sunday,February,2023
2023-02-27,Monday,February,2023
2023-02-28,Tuesday,February,2023
2023-03-01,Wednesday,March,2023
2023-03-02,Thursday,March,2023
2023-03-03,Friday,March,2023
2023-03-04,Saturday,March,2023
2023-03-05,Sunday,March,2023
2023-03-06,Monday,March,2023
2023-03-07,Tuesday,March,2023
2023-03-08,Wednesday,March,2023
2023-03-09,Thursday,March,2023
2023-03-10,Friday,March,2023
2023-03-11,Saturday,March,2023
2023-03-12,Sunday,March,2023
2023-03-13,Monday,March,2023
2023-03-14,Tuesday,March,2023
2023-03-15,Wednesday,March,2023
2023-03-16,Thursday,March,2023
2023-03-17,Friday,March,2023
2023-03-18,Saturday,March,2023
2023-03-19,Sunday,March,2023
2023-03-20,Monday,March,2023
2023-03-21,Tuesday,March,2023
2023-03-22,Wednesday,March,2023
2023-03-23,Thursday,March,2023
2023-03-24,Friday,March,2023
2023-03-25,Saturday,March,2023
2023-03-26,Sunday,March,2023
2023-03-27,Monday,March,2023
2023-03-28,Tuesday,March,2023
2023-03-29,Wednesday,March,2023
2023-03-30,Thursday,March,2023
2023-03-31,Friday,March,2023
2023-04-01,Saturday,April,2023
2023-04-02,Sunday,April,2023
2023-04-03,Monday,April,2023
2023-04-04,Tuesday,April,2023
2023-04-05,Wednesday,April,2023
2023-04-06,Thursday,April,2023
2023-04-07,Friday,April,2023
2023-04-08,Saturday,April,2023
2023-04-09,Sunday,April,2023
2023-04-10,Monday,April,2023
2023-04-11,Tuesday,April,2023
2023-04-12,Wednesday,April,2023
2023-04-13,Thursday,April,2023
2023-04-14,Friday,April,2023
2023-04-15,Saturday,April,2023
2023-04-16,Sunday,April,2023
2023-04-17,Monday,April,2023
2023-04-18,Tuesday,April,2023
2023-04-19,Wednesday,April,2023
2023-04-20,Thursday,April,2023
2023-04-21,Friday,April,2023
2023-04-22,Saturday,April,2023
2023-04-23,Sunday,April,2023
2023-04-24,Monday,April,2023
2023-04-25,Tuesday,April,2023
2023-04-26,Wednesday,April,2023
